"","Title","Year","Rating","Runtime","Critic.Score","Box.Office"
"1545","Expelled: No Intelligence Allowed",2008,"PG",90,11,7.5
"1546","The Forbidden Kingdom",2008,"PG-13",104,64,51.9
"1547","Deception",2008,"R",107,14,4.6
"1548","Harold & Kumar Escape from Guantanamo Bay",2008,"R",104,53,38.1
"1549","Baby Mama",2008,"PG-13",99,64,60.3
"1550","Iron Man",2008,"PG-13",126,94,318.3
"1551","Made of Honor",2008,"PG-13",101,14,46
"1552","Speed Racer",2008,"PG",135,39,43.9
"1553","What Happens in Vegas",2008,"PG-13",99,27,80.2
"1554","Where in the World Is Osama Bin Laden?",2008,"PG-13",90,38,0.3
"1555","Redbelt",2008,"R",99,68,2.3
"1556","The Chronicles of Narnia: Prince Caspian",2008,"PG",150,67,141.6
"1557","Indiana Jones and the Kingdom of the Crystal Skull",2008,"PG-13",122,78,317
"1558","Sex and the City",2008,"R",145,49,152.6
"1559","The Strangers",2008,"R",86,45,52.5
"1560","Kung Fu Panda",2008,"PG",92,87,215.4
"1561","You Don't Mess with the Zohan",2008,"PG-13",113,38,100
"1562","Waltz with Bashir",2008,"R",90,96,2.1
"1563","The Children of Huang Shi",2008,"R",125,30,0.7
"1564","The Promotion",2008,"R",86,53,0.4
"1565","The Happening",2008,"R",91,17,64.5
"1566","The Incredible Hulk",2008,"PG-13",112,67,134.5
"1567","War, Inc.",2008,"R",107,30,0.5
"1568","The Love Guru",2008,"PG-13",87,14,32.2
"1569","Get Smart",2008,"PG-13",110,51,130.2
"1570","Wanted",2008,"R",110,72,134.3
"1571","WALL·E",2008,"G",98,96,223.7
"1572","Kit Kittredge: An American Girl",2008,"G",101,79,17.5
"1573","Hancock",2008,"PG-13",92,41,227.9
"1574","CSNY/Déjà Vu",2008,"R",96,68,0.0329
"1575","Journey to the Center of the Earth",2008,"PG",93,61,101.7
"1576","Hellboy II: The Golden Army",2008,"PG-13",120,86,75.8
"1577","Meet Dave",2008,"PG",90,20,11.6
"1578","Outlander",2008,"R",115,37,0.0596
"1579","Fireflies in the Garden",2008,"R",120,20,0.0369
"1580","Gonzo: The Life and Work of Dr. Hunter S. Thompson",2008,"R",120,86,1
"1581","The Dark Knight",2008,"PG-13",152,94,533.3
"1582","Mamma Mia!",2008,"PG-13",108,54,143.7
"1583","Space Chimps",2008,"G",81,34,29.9
"1584","Step Brothers",2008,"R",98,55,100.5
"1585","The X Files: I Want to Believe",2008,"PG-13",104,31,20.8
"1586","The Wackness",2008,"R",99,69,2
"1587","Swing Vote",2008,"PG-13",120,38,16.2
"1588","The Mummy: Tomb of the Dragon Emperor",2008,"PG-13",112,13,101.6
"1589","The Sisterhood of the Traveling Pants 2",2008,"PG-13",117,65,44
"1590","The Midnight Meat Train",2008,"R",100,71,0.0344
"1591","Beer for My Horses",2008,"PG-13",86,0,0.6
"1592","Tropic Thunder",2008,"R",107,83,110.4
"1593","Star Wars: The Clone Wars",2008,"PG",98,18,35.1
"1594","Mirrors",2008,"R",110,14,30.6
"1595","Vicky Cristina Barcelona",2008,"PG-13",96,81,23.2
"1596","American Teen",2008,"PG-13",95,69,0.8
"1597","Henry Poole Is Here",2008,"PG",99,39,1.7
"1598","The Rocker",2008,"PG-13",102,41,6.3
"1599","The Longshots",2008,"PG",94,41,11.4
"1600","Death Race",2008,"R",105,43,36.1
"1601","The House Bunny",2008,"PG-13",97,42,48.2
"1602","Traitor",2008,"PG-13",114,64,23.5
"1603","Hamlet 2",2008,"R",92,62,4.8
"1604","College",2008,"R",94,5,4.6
"1605","Elegy",2008,"R",112,75,3.5
"1606","Man on Wire",2008,"PG-13",94,100,2.6
"1607","Fly Me to the Moon 3D",2008,"G",84,19,13.6
"1608","Disaster Movie",2008,"PG-13",87,1,14.2
"1609","Bottle Shock",2008,"PG-13",110,48,3.9
"1610","Frozen River",2008,"R",97,88,2.1
"1611","Bangkok Dangerous",2008,"R",99,9,15.2
"1612","The Women",2008,"PG-13",114,13,26.8
"1613","The Family That Preys",2008,"PG-13",111,51,37
"1614","Righteous Kill",2008,"R",101,19,40
"1615","Burn After Reading",2008,"R",96,78,60.3
"1616","Igor",2008,"PG",87,36,19.4
"1617","My Best Friend's Girl",2008,"R",101,14,19.2
"1618","Ghost Town",2008,"PG-13",102,85,13.2
"1619","Lakeview Terrace",2008,"PG-13",110,45,39.3
"1620","Eagle Eye",2008,"PG-13",118,26,101.1
"1621","Fireproof",2008,"PG",122,40,33.5
"1622","Nights in Rodanthe",2008,"PG-13",97,30,41.8
"1623","Choke",2008,"R",92,54,2.8
"1624","Forever Strong",2008,"PG-13",112,29,0.5
"1625","Miracle at St. Anna",2008,"R",160,34,7.8
"1626","The Lucky Ones",2008,"R",115,37,0.2
"1627","Appaloosa",2008,"R",115,77,20.2
"1628","Flash of Genius",2008,"PG-13",119,59,4.2
"1629","Beverly Hills Chihuahua",2008,"PG",91,41,94.5
"1630","Religulous",2008,"R",101,70,13
"1631","An American Carol",2008,"PG-13",83,11,7
"1632","Nick and Norah's Infinite Playlist",2008,"PG-13",90,74,31.5
"1633","The Duchess",2008,"PG-13",110,61,13.8
"1634","Quarantine",2008,"R",89,58,31.7
"1635","The Express",2008,"PG",130,61,9.6
"1636","Body of Lies",2008,"R",128,54,39.4
"1637","City of Ember",2008,"PG",90,53,7.8
"1638","Billy: The Early Years",2008,"PG",98,0,0.3
"1639","The Secret Life of Bees",2008,"PG-13",114,58,37.7
"1640","W.",2008,"PG-13",129,59,25.5
"1641","Sex Drive",2008,"R",109,45,8.4
"1642","Max Payne",2008,"PG-13",100,16,40.6
"1643","Passengers",2008,"PG-13",93,20,0.3
"1644","Noah's Arc: Jumping the Broom",2008,"R",101,50,0.4
"1645","Pride and Glory",2008,"R",130,35,15.7
"1646","Roadside Romeo",2008,"PG",93,0,0.0418
"1647","Saw V",2008,"R",92,12,56.7
"1648","High School Musical 3: Senior Year",2008,"G",112,65,90.5
"1649","Changeling",2008,"R",141,62,35.7
"1650","RocknRolla",2008,"R",114,59,5.7
"1651","What Just Happened",2008,"R",104,51,1
"1652","The Haunting of Molly Hartley",2008,"PG-13",82,3,13.4
"1653","Zack and Miri Make a Porno",2008,"R",101,65,31.4
"1654","Role Models",2008,"R",99,78,67.3
"1655","House",2008,"R",88,0,0.5
"1656","Rachel Getting Married",2008,"R",113,85,12.7
"1657","Soul Men",2008,"R",100,45,12
"1658","Madagascar: Escape 2 Africa",2008,"PG",89,64,180
"1659","Quantum of Solace",2008,"PG-13",106,65,168.4
"1660","I.O.U.S.A.",2008,"PG",85,88,0.6
"1661","Synecdoche, New York",2008,"R",124,68,3
"1662","Twilight",2008,"PG-13",122,48,191.4
"1663","Bolt",2008,"PG",96,89,114.1
"1664","Four Christmases",2008,"PG-13",88,25,120.1
"1665","The Boy in the Striped Pajamas",2008,"PG-13",94,63,9
"1666","Transporter 3",2008,"PG-13",104,37,31.3
"1667","Australia",2008,"PG-13",165,55,49.4
"1668","Punisher: War Zone",2008,"R",103,27,7.9
"1669","Cadillac Records",2008,"R",109,67,8.1
"1670","Sleep Dealer",2008,"PG-13",90,69,0.035
"1671","The Day the Earth Stood Still",2008,"PG-13",104,21,79.1
"1672","Nothing Like the Holidays",2008,"PG-13",98,52,7.5
"1673","Delgo",2008,"PG",94,12,0.5
"1674","Seven Pounds",2008,"PG-13",123,27,70
"1675","The Tale of Despereaux",2008,"G",93,56,50.8
"1676","Yes Man",2008,"PG-13",104,46,97.6
"1677","Free Style",2008,"PG",94,29,0.0978
"1678","Bedtime Stories",2008,"PG",99,25,110
"1679","The Curious Case of Benjamin Button",2008,"PG-13",166,73,127.5
"1680","Slumdog Millionaire",2008,"R",120,92,141.2
"1681","The Spirit",2008,"PG-13",103,14,19.8
"1682","Valkyrie",2008,"PG-13",121,62,83
"1683","Doubt",2008,"PG-13",104,78,33.4
"1684","Marley & Me",2008,"PG",115,63,143.1
"1685","Gran Torino",2008,"R",116,79,148.1
"1686","Last Chance Harvey",2008,"PG-13",93,70,14.8
"1687","Defiance",2008,"R",137,57,28.6
"1688","Hell Ride",2008,"R",84,10,0.2
"1689","Frost/Nixon",2008,"R",122,92,18.6
"1690","Inkheart",2008,"PG",106,38,17.3
"1691","Revolutionary Road",2008,"R",119,67,22.9
"1692","The Reader",2008,"R",124,61,34.1
"1693","Milk",2008,"R",128,94,31.7
"1694","The Wrestler",2008,"R",109,98,26.1
"1695","The Other End of the Line",2008,"PG-13",106,37,0.0591
"1696","Wendy and Lucy",2008,"R",80,85,0.7
"1697","Morning Light",2008,"PG",97,33,0.1
"1698","Two Lovers",2008,"R",110,82,3
"1699","The Great Buck Howard",2008,"PG",90,72,0.6
"1700","Sunshine Cleaning",2008,"R",91,72,12
"1701","American Violet",2008,"PG-13",103,74,0.5
"1702","Sugar",2008,"R",114,92,1
"1703","Valentino: The Last Emperor",2008,"PG-13",96,77,1.6
"1704","Management",2008,"R",94,46,0.8
"1705","Rudo y Cursi",2008,"R",103,73,1.7
"1706","Tyson",2008,"R",90,85,0.8
"1707","Soul Power",2008,"PG-13",92,85,0.0239
"1708","Every Little Step",2008,"PG-13",96,92,1.5
"1709","The Brothers Bloom",2008,"PG-13",114,66,3.5
"1710","The Hurt Locker",2008,"R",131,98,15.7
"1711","Food, Inc.",2008,"PG",94,96,4.2
"1712","Goodbye Solo",2008,"R",91,94,0.8
"1713","It Might Get Loud",2008,"PG",98,80,1.2
"1714","The Secrets of Jonathan Sperry",2008,"PG",96,0,1.1
"1715","The Stoning of Soraya M.",2008,"R",114,57,0.5
"1716","The Loss of a Teardrop Diamond",2008,"PG-13",102,26,0.0945
"1717","More Than a Game",2008,"PG",105,71,0.9
"1718","New York, I Love You",2008,"R",103,36,1.6
"1719","The Burning Plain",2008,"R",107,35,0.0587
"1720","The Yellow Handkerchief",2008,"PG-13",102,67,0.2
"1721","The Merry Gentleman",2008,"R",110,63,0.3
"1722","Me and Orson Welles",2008,"PG-13",114,85,1.1
"1723","Lovely, Still",2008,"PG",92,71,0.1
"1724","Youssou Ndour: I Bring What I Love",2008,"PG",102,83,0.0326
"1725","Finding Amanda",2008,"R",96,40,0.0313
"1726","The Wrecking Crew",2008,"PG",101,92,0.8
"1727","Street Dreams",2009,"R",88,0,0.0849
"1728","Alien Trespass",2009,"PG",90,35,0.0434
"1729","The Unborn",2009,"PG-13",88,10,42.6
"1730","Bride Wars",2009,"PG",89,10,58.6
"1731","Not Easily Broken",2009,"PG-13",99,33,10.6
"1732","My Bloody Valentine",2009,"R",101,57,51.5
"1733","Paul Blart: Mall Cop",2009,"PG",91,33,146.3
"1734","Chandni Chowk to China",2009,"PG-13",154,44,0.9
"1735","Hotel for Dogs",2009,"PG",100,45,73
"1736","Notorious",2009,"R",122,51,36.7
"1737","The Slammin' Salmon",2009,"R",90,35,0.0262
"1738","La mission",2009,"R",117,48,1.1
"1739","Underworld: Rise of the Lycans",2009,"R",92,29,45.8
"1740","The Uninvited",2009,"PG-13",87,32,28.6
"1741","New in Town",2009,"PG",97,29,16.7
"1742","Push",2009,"PG-13",111,23,31.7
"1743","Coraline",2009,"PG",100,90,75.2
"1744","He's Just Not That Into You",2009,"PG-13",129,40,93.9
"1745","The Pink Panther 2",2009,"PG",92,12,35.9
"1746","Friday the 13th",2009,"R",97,25,65
"1747","The International",2009,"R",118,59,25.5
"1748","Confessions of a Shopaholic",2009,"PG",104,25,44.2
"1749","Under the Sea 3D",2009,"G",40,94,34.6
"1750","Fanboys",2009,"PG-13",90,32,0.5
"1751","Fired Up!",2009,"PG-13",90,24,16.8
"1752","Madea Goes to Jail",2009,"PG-13",103,29,90.5
"1753","Crossing Over",2009,"R",113,16,0.4
"1754","Echelon Conspiracy",2009,"PG-13",105,0,0.5
"1755","Street Fighter: The Legend of Chun-Li",2009,"PG-13",96,18,8.6
"1756","Jonas Brothers: The 3D Concert Experience",2009,"G",76,24,19
"1757","Watchmen",2009,"R",162,65,107.5
"1758","Race to Witch Mountain",2009,"PG",98,43,67.1
"1759","The Last House on the Left",2009,"R",110,41,32.7
"1760","Miss March",2009,"R",90,5,4.5
"1761","Brothers at War",2009,"R",110,68,0.0331
"1762","That Evening Sun",2009,"PG-13",109,81,0.0838
"1763","I Love You, Man",2009,"R",105,84,71.3
"1764","Duplicity",2009,"PG-13",125,64,40.6
"1765","Knowing",2009,"PG-13",121,33,79.9
"1766","The Cross",2009,"PG",90,18,0.6
"1767","12 Rounds",2009,"PG-13",108,29,12.2
"1768","Monsters vs. Aliens",2009,"PG",94,72,198.3
"1769","The Haunting in Connecticut",2009,"PG-13",92,17,55.3
"1770","Fast & Furious",2009,"PG-13",107,28,155
"1771","Adventureland",2009,"R",107,88,16
"1772","Dragonball: Evolution",2009,"PG",85,14,9.4
"1773","Observe and Report",2009,"R",86,51,24
"1774","Hannah Montana: The Movie",2009,"G",102,44,79.5
"1775","17 Again",2009,"PG-13",102,55,64.1
"1776","State of Play",2009,"PG-13",127,84,37
"1777","Crank: High Voltage",2009,"R",96,63,13.6
"1778","Sin Nombre",2009,"R",96,89,2.4
"1779","Fighting",2009,"PG-13",105,39,23
"1780","Obsessed",2009,"PG-13",108,19,68.3
"1781","Outrage",2009,"R",90,78,0.2
"1782","The Soloist",2009,"PG-13",117,56,31.7
"1783","X-Men Origins: Wolverine",2009,"PG-13",107,38,179.7
"1784","Ghosts of Girlfriends Past",2009,"PG-13",100,27,55.2
"1785","Star Trek",2009,"PG-13",127,95,257.7
"1786","Next Day Air",2009,"R",84,21,10
"1787","Angels & Demons",2009,"PG-13",138,37,133.4
"1788","Terminator Salvation",2009,"PG-13",115,33,125.3
"1789","Dance Flick",2009,"PG-13",83,18,25.6
"1790","Night at the Museum: Battle of the Smithsonian",2009,"PG",105,44,177.1
"1791","Drag Me to Hell",2009,"PG-13",99,92,42.1
"1792","Up",2009,"PG",96,98,293
"1793","Land of the Lost",2009,"PG-13",102,26,49.4
"1794","My Life in Ruins",2009,"PG-13",95,9,8.5
"1795","The Hangover",2009,"R",100,79,277.3
"1796","Saint John of Las Vegas",2009,"R",85,24,0.0722
"1797","Imagine That",2009,"PG",107,40,16.1
"1798","The Taking of Pelham 1 2 3",2009,"R",106,51,65.5
"1799","Amreeka",2009,"PG-13",96,87,0.4
"1800","Year One",2009,"PG-13",97,15,43.3
"1801","The Proposal",2009,"PG-13",108,44,163.9
"1802","Transformers: Revenge of the Fallen",2009,"PG-13",150,19,402.1
"1803","Tetro",2009,"R",127,71,0.3
"1804","Away We Go",2009,"R",98,67,9.4
"1805","My Sister's Keeper",2009,"PG-13",109,48,49.1
"1806","Ice Age: Dawn of the Dinosaurs",2009,"PG",94,45,196.6
"1807","Public Enemies",2009,"R",140,68,97
"1808","Whatever Works",2009,"PG-13",92,49,5.2
"1809","Spread",2009,"R",97,21,0.1
"1810","The Girlfriend Experience",2009,"R",77,66,0.6
"1811","I Love You, Beth Cooper",2009,"PG-13",102,14,141.2
"1812","Brüno",2009,"R",81,68,60
"1813","Harry Potter and the Half-Blood Prince",2009,"PG",153,84,301.9
"1814","G-Force",2009,"PG",88,22,119.4
"1815","The Ugly Truth",2009,"R",96,13,88.9
"1816","Orphan",2009,"R",123,55,41.5
"1817","Funny People",2009,"R",146,68,51.8
"1818","Aliens in the Attic",2009,"PG",86,31,25
"1819","The Collector",2009,"R",90,30,7.7
"1820","Shrink",2009,"R",104,29,0.0932
"1821","Julie & Julia",2009,"PG-13",123,75,94.1
"1822","(500) Days of Summer",2009,"PG-13",95,86,32.1
"1823","A Perfect Getaway",2009,"R",98,61,15.5
"1824","G.I. Joe: The Rise of Cobra",2009,"PG-13",118,35,150.2
"1825","The Cove",2009,"PG-13",92,94,0.6
"1826","District 9",2009,"R",112,90,115.6
"1827","The Goods: Live Hard, Sell Hard",2009,"R",89,27,15
"1828","Bandslam",2009,"PG",111,81,5.2
"1829","The Time Traveler's Wife",2009,"PG-13",107,38,63.4
"1830","X Games 3D: The Movie",2009,"PG",92,40,0.8
"1831","Shorts",2009,"PG",89,45,20.9
"1832","Inglourious Basterds",2009,"R",153,89,120.5
"1833","Post Grad",2009,"PG-13",88,8,6.3
"1834","Halloween II",2009,"R",105,19,33.3
"1835","Paper Heart",2009,"PG-13",88,58,1.1
"1836","Play the Game",2009,"PG-13",105,27,0.5
"1837","The Final Destination",2009,"R",82,29,66.4
"1838","Motherhood",2009,"PG-13",90,20,0.0501
"1839","Taking Woodstock",2009,"R",120,47,7.4
"1840","Adam",2009,"PG-13",99,64,2.1
"1841","Carriers",2009,"PG-13",84,63,0.0908
"1842","Extract",2009,"R",92,63,10.6
"1843","All About Steve",2009,"PG-13",99,7,33.8
"1844","Gamer",2009,"R",95,28,20.5
"1845","9",2009,"PG-13",79,56,31.7
"1846","I Can Do Bad All by Myself",2009,"PG-13",113,63,51.7
"1847","Sorority Row",2009,"R",101,22,11.9
"1848","Whiteout",2009,"R",101,7,10.2
"1849","Humpday",2009,"R",94,79,0.3
"1850","Love Happens",2009,"PG-13",109,16,22.9
"1851","Jennifer's Body",2009,"R",102,42,16
"1852","Cloudy with a Chance of Meatballs",2009,"PG",90,87,124.9
"1853","The Informant!",2009,"R",108,79,33.3
"1854","The Limits of Control",2009,"R",116,44,0.4
"1855","I Hope They Serve Beer in Hell",2009,"R",105,20,1.4
"1856","Fame",2009,"PG",107,25,22.4
"1857","Surrogates",2009,"PG-13",89,39,38.5
"1858","The September Issue",2009,"PG-13",90,83,3.7
"1859","My One and Only",2009,"PG-13",108,68,2.3
"1860","Capitalism: A Love Story",2009,"R",127,75,14.3
"1861","The Invention of Lying",2009,"PG-13",100,58,18.4
"1862","Whip It",2009,"PG-13",111,84,13
"1863","Zombieland",2009,"R",88,90,75.6
"1864","Couples Retreat",2009,"PG-13",113,11,109.2
"1865","From Mexico with Love",2009,"PG-13",96,0,0.5
"1866","Law Abiding Citizen",2009,"R",109,25,73.3
"1867","The Stepfather",2009,"PG-13",101,11,29.1
"1868","Where the Wild Things Are",2009,"PG",101,73,77.2
"1869","Astro Boy",2009,"PG",94,49,19.5
"1870","Amelia",2009,"PG",111,20,14.2
"1871","Cirque du Freak: The Vampire's Assistant",2009,"PG-13",109,38,13.8
"1872","Good Hair",2009,"PG-13",96,95,4.1
"1873","Saw VI",2009,"R",90,36,27.7
"1874","This Is It",2009,"PG",111,81,71.8
"1875","A Christmas Carol",2009,"PG",96,54,137.8
"1876","A Serious Man",2009,"R",106,89,9.2
"1877","The Men Who Stare at Goats",2009,"R",94,52,32.4
"1878","The Fourth Kind",2009,"PG-13",98,19,25.5
"1879","The Box",2009,"PG-13",115,45,114.9
"1880","Today's Special",2009,"R",99,81,0.3
"1881","2012",2009,"PG-13",158,39,166.1
"1882","Planet 51",2009,"PG",91,21,42.2
"1883","The Blind Side",2009,"PG-13",129,66,255.5
"1884","Precious",2009,"R",110,91,47.5
"1885","The Twilight Saga: New Moon",2009,"PG-13",130,28,296.6
"1886","Old Dogs",2009,"PG",88,5,49.5
"1887","Fantastic Mr. Fox",2009,"PG",87,92,20.9
"1888","Ninja Assassin",2009,"R",99,26,38.1
"1889","Armored",2009,"PG-13",88,40,16
"1890","Everybody's Fine",2009,"PG-13",99,46,8.9
"1891","The Messenger",2009,"R",113,90,1
"1892","Brothers",2009,"R",105,63,28.5
"1893","The Boondock Saints II: All Saints Day",2009,"R",118,23,10.2
"1894","Invictus",2009,"PG-13",134,76,37.4
"1895","Bad Lieutenant: Port of Call New Orleans",2009,"R",122,87,1.6
"1896","The Princess and the Frog",2009,"G",97,85,104.4
"1897","Did You Hear About the Morgans?",2009,"PG-13",103,12,29.6
"1898","Avatar",2009,"PG-13",162,83,760.5
"1899","The Road",2009,"R",111,75,8
"1900","Alvin and the Chipmunks: The Squeakquel",2009,"PG",88,21,219.3
"1901","Up in the Air",2009,"R",109,91,83.8
"1902","Nine",2009,"PG-13",118,37,19.6
"1903","It's Complicated",2009,"R",120,57,112.7
"1904","Sherlock Holmes",2009,"PG-13",128,70,208.7
"1905","The Young Victoria",2009,"PG",105,76,10.9
"1906","Daybreakers",2009,"R",98,67,30
"1907","Youth in Revolt",2009,"R",90,66,15.2
"1908","Black Dynamite",2009,"R",84,85,0.1
"1909","The Lovely Bones",2009,"PG-13",135,31,44
"1910","To Save a Life",2009,"PG-13",120,33,3.7
"1911","An Education",2009,"PG-13",100,94,12.5
"1912","Crazy Heart",2009,"R",112,91,38.3
"1913","A Single Man",2009,"R",99,85,9.1
"1914","The Good Guy",2009,"R",90,35,0.0347
"1915","Brooklyn's Finest",2009,"R",132,43,26.7
"1916","Ondine",2009,"PG-13",111,70,0.5
"1917","Chloe",2009,"R",96,51,1.8
"1918","Life During Wartime",2009,"R",98,69,0.3
"1919","The Perfect Game",2009,"PG",118,57,1
"1920","Oceans",2009,"G",84,81,19
"1921","The Joneses",2009,"R",96,62,1
"1922","City Island",2009,"PG-13",104,81,6.7
"1923","Cold Souls",2009,"PG-13",101,74,0.7
"1924","Princess Kaiulani",2009,"PG",97,18,0.9
"1925","Splice",2009,"R",104,74,17
"1926","The City of Your Final Destination",2009,"PG-13",117,38,0.5
"1927","Solitary Man",2009,"R",90,81,4.4
"1928","Mother and Child",2009,"R",125,79,1.1
"1929","The Maiden Heist",2009,"PG-13",90,0,0.5
"1930","Middle Men",2009,"R",105,40,0.7
"1931","Get Low",2009,"PG-13",103,84,9.2
"1932","Leaves of Grass",2009,"R",105,59,0.068
"1933","Like Dandelion Dust",2009,"PG-13",100,80,0.4
"1934","World's Greatest Dad",2009,"R",99,89,0.2
"1935","Case 39",2009,"R",109,22,13.2
"1936","Waking Sleeping Beauty",2009,"PG",86,71,0.0331
"1937","The Other Woman",2009,"R",102,39,0.0206
"1938","Chain Letter",2009,"R",96,23,0.1
"1939","Oy Vey! My Son Is Gay!!",2009,"PG-13",90,0,0.0872
"1940","I Love You Phillip Morris",2009,"R",98,72,2
"1941","Down for Life",2009,"R",92,0,0.0396
"1942","(Untitled)",2009,"R",96,65,0.2
"1943","The Mighty Macs",2009,"G",99,46,1.9
"1944","Tanner Hall",2009,"R",96,12,0.005
"1945","I'm Not Jesus Mommy",2010,"R",89,0,0.0053
"1946","Immigration Tango",2010,"R",92,7,0.0238
"1947","Leonie",2010,"PG-13",102,42,0.0537
"1948","Passion Play",2010,"R",94,3,0.0021
"1949","Smash His Camera",2010,"PG-13",87,80,0.0024
"1950","Dumbstruck",2010,"PG",85,71,0.015
"1951","Crazy on the Outside",2010,"PG-13",96,8,0.0644
"1952","Leap Year",2010,"PG",100,21,25.9
"1953","The Book of Eli",2010,"R",118,48,94.3
"1954","The Spy Next Door",2010,"PG",94,12,24.3
"1955","Tooth Fairy",2010,"PG",101,18,58.6
"1956","Extraordinary Measures",2010,"PG",106,28,11.9
"1957","Legion",2010,"R",100,19,40.2
"1958","The Tillman Story",2010,"R",94,93,0.8
"1959","The Dry Land",2010,"R",92,61,0.0074
"1960","8: The Mormon Proposition",2010,"R",80,63,0.0999
"1961","Edge of Darkness",2010,"R",117,56,43.3
"1962","Preacher's Kid",2010,"PG-13",110,50,0.4
"1963","When in Rome",2010,"PG-13",91,17,32.6
"1964","Dear John",2010,"PG-13",108,29,79.6
"1965","From Paris with Love",2010,"R",92,37,24
"1966","Percy Jackson & the Olympians: The Lightning Thief",2010,"PG",118,49,86.7
"1967","Valentine's Day",2010,"PG-13",125,18,110
"1968","The Wolfman",2010,"R",103,34,61.9
"1969","Shutter Island",2010,"R",138,68,125
"1970","Blood Done Sign My Name",2010,"PG-13",128,50,0.0827
"1971","Cop Out",2010,"R",107,19,44
"1972","The Crazies",2010,"R",101,71,38.2
"1973","Lebanon, Pa.",2010,"PG-13",100,50,0.0447
"1974","Alice in Wonderland",2010,"PG",108,51,319.3
"1975","She's Out of My League",2010,"R",104,58,28.7
"1976","Remember Me",2010,"PG-13",113,27,18.2
"1977","Our Family Wedding",2010,"PG-13",103,13,18.6
"1978","Green Zone",2010,"R",115,53,33.1
"1979","Elektra Luxx",2010,"R",100,28,0.0108
"1980","The Runaways",2010,"R",106,68,2
"1981","The Bounty Hunter",2010,"PG-13",110,13,56
"1982","Diary of a Wimpy Kid",2010,"PG",94,53,64
"1983","Repo Men",2010,"R",111,22,13.2
"1984","Frozen",2010,"R",93,62,0.1
"1985","Hot Tub Time Machine",2010,"R",101,63,48.9
"1986","How to Train Your Dragon",2010,"PG",98,98,217.4
"1987","Greenberg",2010,"R",107,75,2.3
"1988","The Last Song",2010,"PG",107,20,42.4
"1989","Meet Monica Velour",2010,"R",98,48,0.0316
"1990","Why Did I Get Married Too?",2010,"PG-13",121,26,48.5
"1991","Clash of the Titans",2010,"PG-13",106,28,163.2
"1992","Date Night",2010,"PG-13",88,67,98.7
"1993","Letters to God",2010,"PG",110,25,1.1
"1994","The Extraordinary Adventures of Adèle Blanc-Sec",2010,"PG",107,83,0.1
"1995","Death at a Funeral",2010,"R",92,41,16
"1996","Kick-Ass",2010,"R",117,76,20
"1997","Redemption Road",2010,"PG-13",95,57,0.0258
"1998","The Losers",2010,"PG-13",97,49,23
"1999","The Back-up Plan",2010,"PG-13",106,18,37.5
"2000","Every Day",2010,"R",93,33,0.0099
"2001","Furry Vengeance",2010,"PG",92,8,16
"2002","A Nightmare on Elm Street",2010,"R",95,15,62
"2003","Iron Man 2",2010,"PG-13",124,72,312.1
"2004","Just Wright",2010,"PG",100,45,21.5
"2005","Letters to Juliet",2010,"PG",105,40,53
"2006","Robin Hood",2010,"PG-13",140,43,105.2
"2007","MacGruber",2010,"R",90,47,8
"2008","Shrek Forever After",2010,"PG",93,58,238.3
"2009","The Romantics",2010,"PG-13",95,15,0.1
"2010","Sex and the City 2",2010,"R",146,15,95.3
"2011","Prince of Persia: The Sands of Time",2010,"PG-13",116,36,90.8
"2012","Get Him to the Greek",2010,"R",109,73,60.9
"2013","Marmaduke",2010,"PG",87,9,33.6
"2014","Killers",2010,"PG-13",100,11,47
"2015","The Killer Inside Me",2010,"R",109,55,0.2
"2016","The A-Team",2010,"PG-13",117,47,77.2
"2017","The Karate Kid",2010,"PG",140,66,176.6
"2018","Please Give",2010,"R",90,86,4
"2019","Toy Story 3",2010,"G",103,99,415
"2020","Jonah Hex",2010,"PG-13",81,12,10.5
"2021","Knight and Day",2010,"PG-13",109,52,76.4
"2022","Grown Ups",2010,"PG-13",102,10,162
"2023","The Twilight Saga: Eclipse",2010,"PG-13",124,49,300.5
"2024","The Last Airbender",2010,"PG",103,6,131.6
"2025","Joan Rivers: A Piece of Work",2010,"R",84,91,2.9
"2026","Despicable Me",2010,"PG",95,81,251.5
"2027","Predators",2010,"R",107,64,52
"2028","The Sorcerer's Apprentice",2010,"PG",109,41,63.1
"2029","Cyrus",2010,"R",91,80,7.5
"2030","Inception",2010,"PG-13",148,86,292.6
"2031","Winter's Bone",2010,"R",100,94,6.5
"2032","Standing Ovation",2010,"PG",105,6,0.5
"2033","Salt",2010,"PG-13",100,62,118.3
"2034","Ramona and Beezus",2010,"G",103,70,26.2
"2035","Cats & Dogs: The Revenge of Kitty Galore",2010,"PG",82,14,43.6
"2036","Dinner for Schmucks",2010,"PG-13",114,42,73
"2037","Charlie St. Cloud",2010,"PG-13",99,27,31.1
"2038","The Kids Are All Right",2010,"R",106,93,20.8
"2039","Step Up 3D",2010,"PG-13",107,46,42.4
"2040","Restrepo",2010,"R",93,96,1.3
"2041","The Other Guys",2010,"PG-13",107,79,119.2
"2042","The Wildest Dream",2010,"PG",94,76,0.9
"2043","Twelve",2010,"R",93,3,0.2
"2044","Scott Pilgrim vs. the World",2010,"PG-13",112,82,31.5
"2045","The Expendables",2010,"R",103,41,103
"2046","Eat Pray Love",2010,"PG-13",133,36,80.6
"2047","Vampires Suck",2010,"PG-13",82,5,36.7
